User Input,Chatbot Response,Timestamp
hello,"I'm fine, thank you",2024-12-09 12:22:39
i am feeling happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 13:47:04
i am feeling sad,"Sadness is a normal part of life. It's important to acknowledge how you're feeling, and give yourself time to heal.",2024-12-09 13:47:14
wt to do now,Step away from your current task for five minutes and come back with a fresh perspective.,2024-12-09 13:47:28
i am feeling sooo happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 13:47:43
wt to do now,Remember that itâ€™s okay to ask for help or take breaks when needed.,2024-12-09 13:47:55
wt to do now,Drink a glass of water and remind yourself to take it one step at a time.,2024-12-09 13:48:16
i am sad,"Sadness is a normal part of life. It's important to acknowledge how you're feeling, and give yourself time to heal.",2024-12-09 13:50:52
but i  have not  noone to talk,"Call or message a friend or family member, even if itâ€™s just to say hello.",2024-12-09 13:51:12
i have no frnds,"If you're feeling lethargic, a little movement, fresh air, and hydration can help you regain some energy.",2024-12-09 13:52:38
lethargic?,"If you're feeling lethargic, a little movement, fresh air, and hydration can help you regain some energy.",2024-12-09 13:52:53
lethargic?,Lethargy can sometimes be a sign your body needs rest. Try to get some rest and hydrate yourself to feel more energized.,2024-12-09 13:53:02
age,"Write a letter to yourself or someone you trust, even if you donâ€™t send it. It can help to express your feelings.",2024-12-09 13:53:22
age,Listen to a calming playlist or nature sounds for a quick mental reset.,2024-12-09 14:05:09
what is ur age,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-09 14:05:20
what is ur name,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-09 14:05:46
what is ur name,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2024-12-09 14:05:56
wt is your name,My name is Chatbot.,2024-12-09 14:07:37
wt is your age,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:07:42
wt is you age,I can answer questions and provide assistance,2024-12-09 14:07:49
wt is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:08:00
tell me a joke,Did you hear about the mathematician who's afraid of negative numbers? He'll stop at nothing to avoid them!,2024-12-09 14:08:12
i am sad,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 14:22:28
i am sad,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:23:04
"i am sad, wt should i do","Try drawing or doodling, even if you're not an artist. Creative expression can help you process emotions.",2024-12-09 14:23:35
i am so ahppy,Engage in a hobby or activity you enjoy to help focus your mind elsewhere.,2024-12-09 14:23:44
i am so happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 14:23:52
wt should i do now,"Write down everything on your mind, then pick one priority to start with.",2024-12-09 14:24:05
make me laugh,"Call or message a friend or family member, even if it's just to say hello.",2024-12-09 14:28:31
make me laugh,Why do not skeletons fight each other? They do not have the guts!,2024-12-09 14:31:36
what is your name,Light a candle or turn on soft lighting to create a comforting space around you.,2024-12-09 14:32:04
what is your name,I'm a chatbot,2024-12-09 14:34:07
what is your name,My purpose is to assist you,2024-12-09 14:36:48
dsd,"Try drawing or doodling, even if you're not an artist. Creative expression can help you process emotions.",2024-12-09 14:39:15
i am feeling bored,"Boredom is common, but it can be an opportunity to try something new. Read, take up a hobby, or explore something you enjoy.",2024-12-09 14:40:04
what is your hobby,I'm a chatbot,2024-12-09 14:40:24
what is your favourite colors,I'm a chatbot,2024-12-09 14:41:20
what is your favorite colors,I'm a chatbot,2024-12-09 14:41:28
what is your favorite color,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 14:41:32
what is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:42:31
what is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:43:11
What is your age,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:43:27
"i am feeling nervous, what should i do",I'm a chatbot,2024-12-09 14:43:55
i feel nervous,"When you're feeling tense, it's helpful to pause and give yourself time to relax. A moment of calm can make a big difference.",2024-12-09 14:44:41
i feel anxiety,Sip a warm cup of herbal tea to help relax your body and mind.,2024-12-09 14:45:07
i feel bored,"When you're bored, try to shift your focus. Sometimes, exploring a new activity or even relaxing can make a big difference.",2024-12-09 14:45:18
i feel irritated,"Sometimes, a little time away from what's bothering you can really help. Take a breather.",2024-12-09 14:45:30
i feel sleepy,Put on a favorite movie or show that feels comforting or nostalgic.,2024-12-09 14:45:38
how can i reduce my stress,Step outside and take a short walk to clear your mind and get some fresh air.,2024-12-09 14:46:06
i am stresses,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:46:26
what is your name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:09:31
what is your name,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:10:27
what is your name,Frustration is often a sign you're pushing hard for something important. Take a moment to reset and try again.,2024-12-09 15:11:20
what is your name,It's normal to feel frustrated. Take a step back and think about what you can control in the situation.,2024-12-09 15:11:57
name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:12:45
i am feeling stressed,"Try to focus on one small thing that brings you comfort. Whether it's a song, a pet, or a memory, it can help.",2024-12-09 15:13:13
i am feeling tired,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:14:21
what is your name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:14:54
what is your name,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:16:10
what is your name,It's normal to feel frustrated. Take a step back and think about what you can control in the situation.,2024-12-09 15:18:38
what is your name,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:19:31
what is your name,You can work through irritation by focusing on what you can change or improve.,2024-12-09 15:20:26
what is your name,"When you feel irritated, pause and remind yourself that this feeling will pass.",2024-12-09 15:22:35
i am feeling sad,"Redirect that energy into a positive outlet. Whether it's physical activity or creative expression, it can help release pent-up feelings.",2024-12-09 15:22:48
i am feeling hapy,"Redirect that energy into a positive outlet. Whether it's physical activity or creative expression, it can help release pent-up feelings.",2024-12-09 15:23:01
i am feeling happy,Let your playful side shine; itâ€™s contagious and uplifting.,2024-12-09 15:23:05
i am feeling happy,Playfulness adds joy to life! Embrace the fun and let yourself enjoy the little things.,2024-12-09 15:24:02
i am feeling stressed,"When you're feeling hostile, it's important to pause and find healthy ways to manage your emotions, so they don't affect others.",2024-12-09 15:24:13
hostile,"When you're feeling hostile, it's important to pause and find healthy ways to manage your emotions, so they don't affect others.",2024-12-09 15:24:27
i am nervous,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 15:24:41
i am nervous,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 15:24:56
hi,Nothing much,2024-12-09 15:28:16
hi,Hey,2024-12-09 15:29:56
what is your name,I'm a chatbot,2024-12-09 15:30:01
what is your age,I'm a chatbot,2024-12-09 15:30:05
what is your age,I'm a chatbot,2024-12-09 15:30:13
what is your age,I'm a chatbot,2024-12-09 15:30:23
feeling anxiety,Take a break from what you're doing and focus on the present moment. Notice how your feet feel on the ground.,2024-12-09 15:30:46
i am stressed,Focus on one small task you can accomplish right now to regain a sense of control.,2024-12-09 15:31:54
i am getting anxiety,"Say to yourself, 'I can only do one thing at a time, and that's okay.'",2024-12-09 15:32:02
I feel discouraged,"Don't be too hard on yourself. Progress isn't always linear, and taking things one step at a time can make a huge difference.",2024-12-09 15:35:21
I feel angry,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 15:35:45
I am happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 15:35:54
I am getting irritated,"It's tough to feel irritated. Sometimes, stepping away from the situation or taking a break can help reset your mood.",2024-12-09 15:36:02
what is your name,I'm a chatbot,2024-12-09 15:36:10
what is your age,You can work through irritation by focusing on what you can change or improve.,2024-12-09 15:36:13
i am sad,"It's okay to feel sad. Take some time for yourself, maybe relax or do something that comforts you.",2024-12-09 15:36:27
age,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 15:36:30
i am nervous,"When you're nervous, try focusing on something in your environment to ground yourself. You are capable of handling this.",2024-12-09 15:38:46
i am feeling bored,Boredom can inspire great ideas. Reflect on what you would like to do and set a plan.,2024-12-09 15:38:52
i am feeling tired,"Sadness is a part of life, and it will pass. Be gentle with yourself and allow yourself to feel.",2024-12-09 15:38:56
i am feeling lethargic,A quick break to do something you enjoy can help reinvigorate you.,2024-12-09 15:39:29
what is your name,I'm a chatbot,2024-12-09 15:39:36
hello,Hi there,2024-12-09 15:39:41
i am not happy,"It's okay to feel unhappy sometimes. Try to take it easy and do something that brings you comfort, even if it's small.",2024-12-09 15:39:47
i am not stressed,Reflect on what used to excite you and try revisiting those interests.,2024-12-09 15:39:52
i am stressed,Step outside and take a short walk to clear your mind and get some fresh air.,2024-12-09 15:40:31
i am happy,I'm thrilled to hear you're so happy! Cherish these moments and spread the joy.,2024-12-09 15:40:56
what is your name,I'm a chatbot,2024-12-09 15:46:47
what is your age,You can work through irritation by focusing on what you can change or improve.,2024-12-09 15:46:52
hello,Hi there,2024-12-09 15:46:59
i ,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 15:47:17
hello,Hello,2024-12-09 15:48:17
hi,Hey,2024-12-09 15:48:20
how are you,"""It always seems impossible until it's done."" â€“ Nelson Mandela",2024-12-09 15:48:25
how to reduce stress,Pause for five minutes and focus on your breathing or try a short meditation.,2024-12-09 15:50:02
i am unhappy,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 15:50:13
what is my name,Shift your attention to something positive or humorous to help alleviate the annoyance.,2024-12-09 15:50:45
i am unhappy,"Anger is a powerful emotion, and it's important to express it safely. Try journaling or talking to someone you trust.",2024-12-09 15:51:01
i am angry,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 15:51:10
i am happy,Your happiness is inspiring! Hold onto this feeling and share it with others.,2024-12-09 15:51:38
i am depressed,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 15:51:45
i am angry,"Anger is a powerful emotion, and it's important to express it safely. Try journaling or talking to someone you trust.",2024-12-09 15:52:33
i am irritated,"Take a moment to breathe. It's okay to feel irritated, but try not to let it take over. Things will get better.",2024-12-09 15:52:40
i am sad,Talking to someone you trust can really help when you're feeling down. You're not alone.,2024-12-09 15:52:48
i am worried,Visualize a successful outcome. Picture yourself handling the situation with ease.,2024-12-09 15:53:02
i am worried,Practice positive self-talk. Remind yourself of your strengths and how you've overcome challenges before.,2024-12-09 16:38:31
i am happy,Your happiness is inspiring! Hold onto this feeling and share it with others.,2024-12-09 16:38:49
feeling bored,Watch a movie or show you've been wanting to see.,2024-12-09 16:39:07
what is your name,I'm a chatbot,2024-12-09 16:39:28
what is your age,"Sometimes, a little time away from what's bothering you can really help. Take a breather.",2024-12-09 16:39:41
i am sad,"It's okay to feel sad. Take some time for yourself, maybe relax or do something that comforts you.",2024-12-09 16:40:01
i am happyyy,"Find a healthy outlet for your anger, like exercise or a creative project. It can make a big difference.",2024-12-09 16:40:16
i am happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 16:40:32
i am angry,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 16:40:46
how to control my anger,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 16:41:07
do u know my name,Tension can be overwhelming. Try some stretches or take a few moments to practice deep breathing.,2024-12-09 16:41:28
i am siri,"Anger is a powerful emotion, and it's important to express it safely. Try journaling or talking to someone you trust.",2024-12-09 16:41:44
i am chatbot,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 16:42:00
i am depressed,"I'm sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 16:42:20
motivate me,Why did the computer go to the doctor? It had a virus!,2024-12-09 16:42:38
tell me a joke,What did one wall say to the other wall? I'll meet you at the corner!,2024-12-09 18:24:01
good one,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 18:24:45
hi,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:33:32
hello,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:33:38
what is your name,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:34:00
what is your name,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:34:25
what is your name,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:34:35
i am happy,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:34:41
tell me a joke,Why did the math book look sad? Because it had too many problems.,2024-12-09 18:36:04
what is your name,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:36:11
what is your age,"I'm sorry, I didn't understand that. Could you rephrase?",2024-12-09 18:36:17
tell me a joke,Why did the bicycle fall over? It was two-tired.,2024-12-09 18:36:57
what is your name,"Try to focus on one small thing that brings you comfort. Whether it's a song, a pet, or a memory, it can help.",2024-12-09 18:37:03
what is your age,Talking to someone you trust can really help when you're feeling down. You're not alone.,2024-12-09 18:37:11
what is your name,I am a chatbot,2024-12-09 18:37:34
what is your age,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 18:37:38
i am sad,"Try to focus on one small thing that brings you comfort. Whether it's a song, a pet, or a memory, it can help.",2024-12-09 18:37:56
i am s,"Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 18:38:03
i am sad,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 18:38:18
i am angry,"I am sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 18:38:22
getting bored,"Boredom is common, but it can be an opportunity to try something new. Read, take up a hobby, or explore something you enjoy.",2024-12-09 18:38:30
feeling happy,Your happiness is inspiring! Hold onto this feeling and share it with others.,2024-12-09 18:38:37
please motivate me,"Push through today, and tomorrow will be even better.",2024-12-09 18:38:45
i am unable to focus on things,Put on a favorite movie or show that feels comforting or nostalgic.,2024-12-09 18:38:55
help me,"Try to focus on one small thing that brings you comfort. Whether it's a song, a pet, or a memory, it can help.",2024-12-09 18:39:12
what is your name,My name is Chatbot,2024-12-09 18:41:30
what is your age,"Iâ€™m timeless, I donâ€™t get older.",2024-12-09 18:41:33
what is your age,"I'm timeless, I don't get older.",2024-12-09 18:44:02
what is your name,I'm a friendly bot,2024-12-09 18:44:08
hello,"Hey, what's up?",2024-12-09 18:44:13
i am sad,Talking to someone you trust can really help when you're feeling down. You're not alone.,2024-12-09 18:44:40
i am angry,"I am sorry you're feeling angry. Take a deep breath and try to calm down. It's okay to feel upset, but try to find a way to release that tension in a healthy way.",2024-12-09 18:45:23
help me,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 18:46:04
hello,Good day!,2024-12-09 18:48:08
hello,Good to see you,2024-12-09 18:48:57
what is your name,My name is Chatbot,2024-12-09 18:49:28
what is your age,"I was created to help you, not to age.",2024-12-09 18:49:44
abc,Hello! How can I assist you today?,2024-12-09 18:49:58
what is your age,I was just born in the digital world.,2024-12-09 18:53:34
you know about lahari,Put on a favorite movie or show that feels comforting or nostalgic.,2024-12-09 18:56:06
do you know abt lahari?,yeahh...she is so bad,2024-12-09 18:57:00
do you know abt lahari,I like helping people out and providing company.,2024-12-09 18:57:31
do you know abt lahari?,yeahh...she is so bad,2024-12-09 18:57:51
"help me, i am feeling tired","Try drawing or doodling, even if you're not an artist. Creative expression can help you process emotions.",2024-12-09 18:59:12
"help me, i am feeling angry","Anger can be overwhelming. Maybe take a moment to step back, breathe, and relax. You'll feel better.",2024-12-09 19:00:47
"help me, i am feeling sad","Sadness is a part of life, and it will pass. Be gentle with yourself and allow yourself to feel.",2024-12-09 19:00:52
"help me, i am feeling tired",Put on a favorite movie or show that feels comforting or nostalgic.,2024-12-09 19:00:55
"help me, i am feeling tired",Listen to your bodyâ€”it's okay to rest when you need to.,2024-12-09 19:02:19
"help me, i am feeling tired",Energy comes from taking care of yourself. Prioritize rest.,2024-12-09 19:33:56
"help me, i am feeling tired",Listen to your body it's okay to rest when you need to.,2024-12-09 19:34:39
ijhghn,"When you feel like giving up, remind yourself why you started. This can help you rediscover your motivation.",2024-12-09 19:37:58
tell me a joke,Why can't you give Elsa a balloon? Because she will let it go!,2024-12-09 19:38:32
sx,"Feeling discouraged is part of the process. Break your goals down into smaller, manageable steps, and celebrate even the small wins.",2024-12-09 19:39:46
hjk,"Feeling discouraged is part of the process. Break your goals down into smaller, manageable steps, and celebrate even the small wins.",2024-12-09 19:40:35
hj,"Feeling discouraged is part of the process. Break your goals down into smaller, manageable steps, and celebrate even the small wins.",2024-12-09 19:40:55
